t err good
67100 0.0543844 0.984375
67200 0.0540639 0.984375
67300 0.0538231 0.984375
67400 0.0534444 0.984375
67500 0.0532092 0.984375
67600 0.0528905 0.984375
67700 0.0526301 0.984375
67800 0.0522919 0.984375
67900 0.0520529 0.984375
68000 0.0518129 0.984375
68100 0.0515948 0.984375
68200 0.05134 0.984375
68300 0.0510996 0.984375
68400 0.0509238 0.984375
68500 0.0506421 0.984375
68600 0.0503649 0.984375
68700 0.0501139 0.984375
68800 0.0498808 0.984375
68900 0.0496613 0.984375
69000 0.0494416 0.984375
69100 0.0490539 0.984375
69200 0.0487515 0.984375
69300 0.0483972 0.984375
69400 0.0481876 0.984375
69500 0.0478185 0.984375
69600 0.0474819 0.984375
69700 0.0472889 0.984375
69800 0.0470716 0.984375
69900 0.0468995 0.984375
70000 0.0466543 0.984375
70100 0.0462848 0.984375
70200 0.0460328 0.984375
70300 0.0457884 0.984375
70400 0.045578 0.984375
70500 0.0452744 0.984375
70600 0.0450127 0.984375
70700 0.0446736 0.984375
70800 0.0443814 0.984375
70900 0.04415 0.984375
71000 0.0438859 0.984375
71100 0.043682 0.984375
71200 0.0434785 0.984375
71300 0.0432543 0.984375
71400 0.0430329 0.984375
71500 0.0427961 0.984375
71600 0.0425996 0.984375
71700 0.0423846 0.984375
71800 0.042221 0.984375
71900 0.0420488 0.984375
72000 0.0418405 0.984375
72100 0.0416288 0.984375
72200 0.0414606 0.984375
72300 0.0413116 0.984375
72400 0.0410658 0.984375
72500 0.0406953 0.984375
72600 0.04048 0.984375
72700 0.0403198 0.984375
72800 0.0401355 0.984375
72900 0.0398147 0.984375
73000 0.0395149 0.984375
73100 0.0392735 0.984375
73200 0.0390839 0.984375
73300 0.0388123 0.984375
73400 0.0385746 0.984375
73500 0.0383877 0.984375
73600 0.0381146 0.984375
73700 0.0379629 0.984375
73800 0.0378217 0.984375
73900 0.0376331 0.984375
74000 0.0374696 0.984375
74100 0.0372194 0.984375
74200 0.0370432 0.984375
74300 0.0368531 0.984375
74400 0.036656 0.984375
74500 0.0364248 0.984375
74600 0.0362313 0.984375
74700 0.0359971 0.984375
74800 0.0356899 0.984375
74900 0.0355907 0.984375
75000 0.0353827 0.984375
75100 0.0350443 0.984375
75200 0.0348162 0.984375
75300 0.0346949 0.984375
75400 0.0344517 0.984375
75500 0.034298 0.984375
75600 0.0340914 0.992188
75700 0.0339476 0.988281
75800 0.0338006 0.992188
75900 0.0336228 0.996094
76000 0.0334584 0.992188
76100 0.0332502 0.996094
76200 0.0330118 0.996094
76300 0.0328633 0.996094
76400 0.0326746 0.996094
76500 0.0324522 0.996094
76600 0.0323126 0.996094
76700 0.0320522 0.996094
76800 0.0318977 0.996094
76900 0.0317101 0.996094
77000 0.0315416 0.996094
77100 0.0313334 0.996094
77200 0.0312006 0.996094
77300 0.0309223 0.996094
77400 0.0307808 0.996094
77500 0.0306384 0.996094
77600 0.0304779 0.996094
77700 0.0303214 0.996094
77800 0.0301058 0.996094
77900 0.0299452 0.996094
78000 0.029789 0.996094
78100 0.0296262 0.996094
78200 0.0295513 0.996094
78300 0.0294137 0.996094
78400 0.0291911 0.996094
78500 0.0290345 0.996094
78600 0.028854 0.996094
78700 0.0286715 0.996094
78800 0.0284728 0.996094
78900 0.0283956 0.996094
79000 0.0282149 0.996094
79100 0.0281059 0.996094
79200 0.0278759 0.996094
79300 0.027754 1
79400 0.0275627 1
79500 0.027416 1
79600 0.0272279 1
79700 0.0270874 1
79800 0.0269353 1
79900 0.0267984 1
80000 0.0266388 1
