n t
748 15
1356 19
17463 95
19792 106
6171 44
12163 71
13401 76
302 10
16657 91
4749 37
11248 67
8467 54
15487 86
5373 40
15519 86
3383 30
6388 45
5495 40
18454 99
3710 31
16597 91
3078 28
16078 89
7990 52
12308 72
12175 71
11977 70
8216 53
10121 62
9418 58
3761 32
19466 104
6404 44
10800 64
7687 51
15043 84
13781 78
17688 96
7567 50
4737 37
19232 103
3423 30
14726 82
3349 30
19704 105
3251 31
12403 92
15597 89
2251 26
13826 81
3068 29
8885 58
5589 42
14141 83
13615 80
13440 79
196 8
17424 98
14224 83
2927 28
2395 26
7382 51
3829 33
413 12
4372 36
4948 39
310 9
4752 38
6804 48
18320 106
4000 34
16644 94
17084 96
1617 22
3877 34
10437 66
19879 110
11064 68
6658 47
8680 57
18132 102
13737 80
8427 56
7461 51
19062 106
9455 61
12183 73
16380 93
121 7
16541 94
7103 49
18486 104
19756 109
15114 87
1218 20
949 17
13463 80
10105 64
10448 65
9045 58
8542 56
19201 106
13405 79
17358 98
9776 62
9781 62
3360 31
15218 88
2413 26
11226 69
4964 39
8717 57
10968 68
1045 18
16534 94
6322 46
15407 88
6186 45
15364 88
8965 59
17587 99
19955 110
1675 22
2569 27
15465 89
5100 40
18643 104
19802 116
11895 72
10520 65
16623 94
35 6
1697 22
7219 50
18533 104
14076 82
1469 20
16082 91
7489 52
9723 62
2993 30
13026 77
12896 77
1240 19
5468 42
1431 20
4840 38
3818 32
19942 107
9653 60
3313 30
16894 93
2963 28
17293 94
2197 24
2712 27
7822 51
3346 30
1411 20
14778 83
15575 86
1876 22
9494 59
4067 34
5414 40
664 14
413 11
3841 33
6792 47
4012 33
17089 93
7266 49
3649 32
14520 82
19550 105
776 15
7850 52
17210 93
2786 27
10319 63
10599 64
17770 97
17371 95
17513 95
14565 81
7256 49
19687 105
19390 104
752 15
13546 77
3153 29
13587 78
2962 27
11441 68
18141 113
1883 22
5301 40
729 15
12442 72
17869 97
737 15
6277 44
10455 63
4119 34
3223 29
14722 83
8988 56
19213 103
9957 61
12266 71
2731 27
5594 41
17414 95
19774 106
12542 73
19937 106
15441 86
10991 65
10256 62
176 7
5062 38
10551 64
1074 18
4320 36
11252 66
17480 95
6127 43
18689 101
5089 39
19438 104
19981 106
7087 48
16935 92
6874 47
11171 67
15080 84
14867 83
10254 62
7670 50
2292 24
11399 68
5879 42
12298 72
18952 102
1905 23
10790 65
16645 91
14980 84
179 8
503 13
2037 23
15313 85
12392 72
19152 103
9479 58
14679 82
12449 72
12905 74
1285 19
1229 18
3435 31
1072 17
7810 51
10878 66
13930 79
9436 58
3412 30
3199 29
16196 89
13019 74
1958 22
9489 59
7852 51
560 14
15226 85
18451 99
4918 37
7212 48
1636 20
6734 46
8458 54
6770 46
16865 92
288 10
19243 103
6417 44
13947 79
16923 93
9884 61
14244 80
11430 67
17619 96
10150 61
12309 71
9224 57
8779 56
19013 109
6709 46
16933 93
5887 42
16153 89
530 13
4162 34
2000 23
15707 87
11076 66
8621 55
10143 62
2341 25
15051 84
13400 76
8215 53
12445 72
4434 35
5338 39
13982 79
8655 55
4046 33
7364 49
1649 21
15179 85
6444 45
14924 83
10331 63
2695 27
6885 47
61 6
2509 25
2274 24
1114 17
1035 17
7475 50
3639 32
1834 22
5352 40
12569 73
16642 91
1955 23
11854 76
8174 53
7278 49
5950 42
12029 70
2883 28
429 12
13701 78
16827 92
920 16
8423 54
3985 33
3749 32
6780 47
10551 64
9967 61
4786 37
17716 96
2527 26
12040 70
6717 46
9687 60
6753 46
6922 47
14392 80
18079 98
5313 40
16847 92
1722 21
19523 104
18115 98
14178 80
13117 75
16713 91
322 9
12783 73
12864 74
284 8
11590 68
7964 52
7683 51
10310 62
5642 41
1144 18
16991 93
16013 88
14788 83
2042 24
15452 86
8497 54
15631 87
11633 77
6337 44
11520 68
11517 68
3783 32
4775 37
11227 67
4053 33
15941 88
12052 70
419 12
10170 62
9223 57
19185 103
2112 24
19453 104
10449 63
5545 54
13153 75
3155 29
1040 18
11815 69
8943 56
4666 37
9368 58
4755 37
13136 75
12577 73
12902 74
2985 28
14473 81
14226 80
16686 91
14410 81
3203 54
19978 107
6807 46
19046 102
7900 51
16857 92
14408 81
18063 98
17859 97
11544 68
1439 19
11815 69
2437 25
18030 120
3309 30
9739 60
2864 27
11490 68
8097 52
18139 98
7465 49
14333 81
11131 66
5365 39
17451 95
9946 61
266 10
4949 37
14652 82
8750 55
4926 37
12053 71
18079 98
18394 99
9167 57
3792 31
9067 57
17604 95
17595 96
14542 81
12159 71
18661 101
8355 54
2558 26
6044 43
235 9
8668 55
13515 77
5283 39
8967 57
5904 42
18417 99
9674 60
15264 105
8022 52
2618 26
5162 39
15850 88
8441 54
14282 81
10175 62
6392 44
16021 88
5401 40
18897 101
1235 19
10217 62
5507 40
172 7
1572 21
18137 98
